recordURL,apiUrl,imageUrl,paintingUrl,inscriptionText,artistName,artDate,artTitle,thresholdLevel,boxLeft,boxTop,boxWidth,boxHeight,angle,Invert
https://www.metmuseum.org/art/collection/search/722444,https://collectionapi.metmuseum.org/public/collection/v1/objects/722444,https://images.metmuseum.org/CRDImages/dp/original/DP863329.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/722444/1595088/main-image,PIERRE AUGTE RENOIR (inscribed in plate across center) AR / 28 rue Bréda [lower right; crossed out in graphite] / (Illegible Text) vous venez me [illegible] / à matin de la [illegible] / de l'art dans le [illegible] (inscribed in graphite across top) ,Anonymous,ca. 1864–1919,Pierre-Auguste Renoir calling card,0.8,96.295,78.577,149.45,66.251,0,0
https://www.metmuseum.org/art/collection/search/387809,https://collectionapi.metmuseum.org/public/collection/v1/objects/387809,https://images.metmuseum.org/CRDImages/dp/original/DP817829.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/387809/768166/main-image,Carpeaux Sculp Concourt (Illegible Text)randt 1860 (signed in plate; lower left center); Carpeaux inv et gravé 1860 (lower left),Jean-Baptiste Carpeaux,1860,Ugolino,0.3,338.782,953.938,64.19,83.803,0,0
https://www.metmuseum.org/art/collection/search/434468,https://collectionapi.metmuseum.org/public/collection/v1/objects/434468,https://images.metmuseum.org/CRDImages/dp/original/DP841857.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/434468/1416101/main-image,Das leiden unters Derrn (top center); (Illegible Text) (top left in ink),Lucas Cranach the Elder,1492–1553,"Christ before Herod, from the Passion",0.9,44.74,22.37,68.709,62.317,0,0
https://www.metmuseum.org/art/collection/search/365522,https://collectionapi.metmuseum.org/public/collection/v1/objects/365522,https://images.metmuseum.org/CRDImages/dp/original/DP803443.jpg,,"Inscription:The drawing is completed by some inscriptions in lead point, at the top : ""il Concello - PB 89 / Curgo 8 5 - 6-"" ; for the cornice : ""0 / ?3 "" ; at left border : some illegible words ; at lower left corner : ""3"" and after illegible.The recto is annotated, at upper right, in graphite: ""18"".Marking:No watermark.","Anonymous, Italian, Piedmontese, 18th century",1700–1780,"Design for a corner of painting ceiling, architectural perspective",0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/366223,https://collectionapi.metmuseum.org/public/collection/v1/objects/366223,https://images.metmuseum.org/CRDImages/dp/original/DP803873.jpg,,"Signature:[Brush and brown watercolor, bottom left corner, as if carved into stone:] SQ fec. [followed by illegible text]Inscription:[Graphite, top left of verso:] P. Quaglio[Graphite, top left of verso:] F[illegible text][Graphite, lower left of verso:] [illegible text] 2102-8 No 33[Graphite, lower right of verso:] 3006/7[Graphite, lower right of verso:] 279[Graphite, lower right of verso:] S. Quaglio fecMarking:Verso, lower left, mark of Carl Heumann (1886-1945) (Lugt 555b): CH [encircled, in purple]Verso, lower right, other mark of Carl Heumann (1886-1945) (Lugt 2841a): flower [in blue]",Simon Quaglio,ca. 1835,Cloisters in a Nunnery,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/335319,https://collectionapi.metmuseum.org/public/collection/v1/objects/335319,https://images.metmuseum.org/CRDImages/dp/original/DP800235.jpg,,"Inscription:Annotated in pen and brown ink at upper left, ""160.../Cano No 95 [?]""; at upper right, ""200...""; at lower center border an illegible cipher; on verso, ""Cano. / [effaced and illegible inscription] / No 21"".",Sebastián de Herrera-Barnuevo,1619–71,Auto-da-fé in a Courtyard,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/335828,https://collectionapi.metmuseum.org/public/collection/v1/objects/335828,https://images.metmuseum.org/CRDImages/dp/original/DP806878.jpg,,"Inscription:Lower left corner in graphite: ""Lafitte fecit"". [partially rubbed out]; upper center verso: ""126"" [underlined]; upper right verso: ""see Percier Scrapbook / p. 25""; lower right verso: ""Louis Lafitte ? / Fr. Book ill""Lower left in pen and black ink: ""NOUVELLES / des / Arts"".; upper left: ""ANNO MC. LXXXX (illeg.) / (illeg.) R.R.F / MUSEUM NATIONAL DES""; upper right: ""INSTITUT NATIONAL DES SCIENCES""",Louis Lafitte,ca.1800–02,Design for an Allegorical Print,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/340000,https://collectionapi.metmuseum.org/public/collection/v1/objects/340000,https://images.metmuseum.org/CRDImages/dp/original/DP802285.jpg,,Inscription:Annotated in pen and brown ink cursive along bottom edge of sheet: originale del Domenichino = Mezza patu [?] ... [illegible]Verso: [illegible annotation visible through recto],"Anonymous, Italian, Roman-Bolognese, 17th century",17th century,Martyrdom of Saint Lawrence,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/343833,https://collectionapi.metmuseum.org/public/collection/v1/objects/343833,https://images.metmuseum.org/CRDImages/dp/original/DP827882.jpg,,"Inscription:On figures of Saints and symbols of Evangelists in point of brush and brown ink (from left to right), inscribed ""S GOVANES [on eagle] /IACOBES/S PETRO/S. PAVLO/S. LVCAS. [on ox] /S. MARCO [on lion] /GIVDA/CHIESE SOSIETAS AMBIECTEAVM SACRAM SCRIPTVR./SACRA SCRITVRA""; at center of lower margin, a similar inscription, now illegible. Verso: an illegible inscription in pen and black ink","Jan van der Straet, called Stradanus",16th century,Allegory of the Triumph of the Church,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/340177,https://collectionapi.metmuseum.org/public/collection/v1/objects/340177,https://images.metmuseum.org/CRDImages/dp/original/DP802542.jpg,,Inscription:Annotated in black chalk? at lower right corner: [illegible] GM?,"Anonymous, Italian, Roman-Bolognese, 17th century",17th century,Tobias and the Angel,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/340149,https://collectionapi.metmuseum.org/public/collection/v1/objects/340149,https://images.metmuseum.org/CRDImages/dp/original/DP802452.jpg,,"Inscription:Annotated in brown ink at lower right: Fil...a...o...[?]. Illegible annotation in brown ink on verso, visible at right edge of recto.Marking:No watermark visible.","Anonymous, Italian, Roman-Bolognese, 17th century",17th century,Putto,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/372222,https://collectionapi.metmuseum.org/public/collection/v1/objects/372222,https://images.metmuseum.org/CRDImages/dp/original/DP819775.jpg,,"Inscription:In upper left in graphite (all covered over with gouache): [...] illegible, and upper right [...]/ Nach der Natur gezeichnet [...]/ von Carl... März[...] (by the artist?)",Carl August Lebschee,1800–1877,Wooded Landscape with Stag,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/376324,https://collectionapi.metmuseum.org/public/collection/v1/objects/376324,https://images.metmuseum.org/CRDImages/dp/original/DP804033.jpg,,"Inscription:in pen and brown ink on left: ""...(illegible)"", annotated in graphite on lower margin center: ""Aus den fliegenden Blättern.""",Moritz von Schwind,mid-19th century,Studies of Imaginary Woodland Creatures and Other Figures,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/416086,https://collectionapi.metmuseum.org/public/collection/v1/objects/416086,https://images.metmuseum.org/CRDImages/dp/original/DP831056.jpg,,"Inscription:Printed text along lower edge of upper left image: [name faded, illegible]Printed text along lower edge of upper right image: [name faded, illegible]Printed text along lower edge of lower left image: [name faded, illegible]Printed text along lower edge of lower right image: [name faded, illegible]Printed text along lower edge of card: Virginia Brights/ Cigarettes.[Verso of card not visible as pasted onto album page].",Issued byAllen & Ginter,ca. 1888,"From the Actors and Actresses series (N45, Type 4) for Virginia Brights Cigarettes",0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/349093,https://collectionapi.metmuseum.org/public/collection/v1/objects/349093,https://images.metmuseum.org/CRDImages/dp/original/DP812016.jpg,,"Inscription:Pen and red ink, lower left: Dress par l'Architecte sous / Paris la [illegible] 1898 / F. [?] Quatrevaux [?]","Anonymous, French, 19th century",1898,View of a Country House,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/363488,https://collectionapi.metmuseum.org/public/collection/v1/objects/363488,https://images.metmuseum.org/CRDImages/dp/original/DP812716.jpg,,"Inscription:Signed illegibly lower right in blue crayon, possibly Firroplenx?","Anonymous, French, 19th century",ca. 1920–39,Design for a theater costume,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/358876,https://collectionapi.metmuseum.org/public/collection/v1/objects/358876,https://images.metmuseum.org/CRDImages/dp/original/DP809083.jpg,,"Inscription:Lower center: scaled; annotations throughout sheet; pen and red ink, lower left corner: illegible writing. Verso, graphite: sketches.","Anonymous, French, 19th century",19th century,Design for a Fountain,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/368562,https://collectionapi.metmuseum.org/public/collection/v1/objects/368562,https://images.metmuseum.org/CRDImages/dp/original/DP803417.jpg,,"Inscription:Verso, in graphite: sketch of a man's legsUpper right corner, in graphite: ""Mz (or 3?) braun""; bottom left: illegible inscriptionRight center, in brown ink: ""N 24""",Melchior Steidl,late 17th–18th century,Saint Carl Borromäus,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/392064,https://collectionapi.metmuseum.org/public/collection/v1/objects/392064,https://images.metmuseum.org/CRDImages/dp/original/DP818391.jpg,,"Inscription:Inscribed in plate on lower right corner: ""Rembrandt. f. 165 (last digit illegible).""",Rembrandt (Rembrandt van Rijn),ca. 1652,The Agony in the Garden,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/373690,https://collectionapi.metmuseum.org/public/collection/v1/objects/373690,https://images.metmuseum.org/CRDImages/dp/original/DP819616.jpg,,"Inscription:Numbered in pen and black ink in left corner: 32, in right corner: [...] (illegible) (cut).",Daniel Nikolaus Chodowiecki,18th century,Portrait of the Artist's Wife,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/720497,https://collectionapi.metmuseum.org/public/collection/v1/objects/720497,https://images.metmuseum.org/CRDImages/dp/original/DP874643.jpg,,"Inscription:Inscribed in plate, within image, bottom center: CCampion sculp [illegible]velis 1768",Charles Michel Campion,1768,Autumn (Wine Harvest),0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/720507,https://collectionapi.metmuseum.org/public/collection/v1/objects/720507,https://images.metmuseum.org/CRDImages/dp/original/DP874646.jpg,,"Inscription:Inscribed in plate, within image, bottom center: CCampion fecit [illegible]velis 1768",Charles Michel Campion,1768,Autumn (Wine Harvest),0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/340075,https://collectionapi.metmuseum.org/public/collection/v1/objects/340075,https://images.metmuseum.org/CRDImages/dp/original/DP801881.jpg,,"Inscription:Annotated in brown ink at lower right corner [very abraded]: ""Pa..."" [rest illegible; also corner missing.]Marking:No watermark visible.","Anonymous, Italian, Roman-Bolognese, 17th century",17th century,Holy Family,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/344409,https://collectionapi.metmuseum.org/public/collection/v1/objects/344409,https://images.metmuseum.org/CRDImages/dp/original/DP808497.jpg,,"Inscription:at bottom in pen and brown ink, ""...Teodora...Justinian...[illegible]; on mat in graphite, ""Di...N. 10[?] 50.""; on verso in graphite, ""Cick"", ""639"", ""Fletcher .50"".","Anonymous, French, 17th century",17th century,Antique Subject,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/356247,https://collectionapi.metmuseum.org/public/collection/v1/objects/356247,https://images.metmuseum.org/CRDImages/dp/original/DP808831.jpg,,Inscription:inscription in graphite at lower right is illegible.,"Anonymous, French, 18th century",18th century,Design for a Fountain,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/342216,https://collectionapi.metmuseum.org/public/collection/v1/objects/342216,https://images.metmuseum.org/CRDImages/dp/original/DP890856.jpg,,"Inscription:Inscribed on verso, in graphite, upper center: ""Bourgognone""; in pen and brown ink, upper right, illegible due to mounting",Anonymous nearGiuseppe Maria Crespi,18th century (?),Soldier Resting his Head on his Elbow,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/336854,https://collectionapi.metmuseum.org/public/collection/v1/objects/336854,https://images.metmuseum.org/CRDImages/dp/original/DP884905.jpg,,"Inscription:Inscribed below image left: ""Daubigny""; center: ""petits oiseaux le printemps vient de [illegible] / oiseaux chantez le printemps et l'amour""Inscribed in graphite lower right: ""A. Pierron""",Charles-François Daubigny,1850,Little Birds,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/386017,https://collectionapi.metmuseum.org/public/collection/v1/objects/386017,https://images.metmuseum.org/CRDImages/dp/original/DP888934.jpg,,"Inscription:lower right, in reverse: Pour essayer ...[illeg.]",Félix-Hilaire Buhot,1860–98,The Maid Sewing (Bonne Femme Cousant),0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/386752,https://collectionapi.metmuseum.org/public/collection/v1/objects/386752,https://images.metmuseum.org/CRDImages/dp/original/DP827942.jpg,,"Inscription:Inscribed below image, Rmo P. D. Andreae le Masson / Romanae Cartusiae Priori, totlus que ordinis Procuratori Generali, / veneratou virtutum dicat, offert au Consecrat, anno Salutis MDCCLXIV, Restout filius; Romae in Regia francia Accademia Alumnus, inscribed on the rock at left, Restout / [illeg.] / Roma.",Jean Bernard Restout,1764,Saint Bruno,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/384562,https://collectionapi.metmuseum.org/public/collection/v1/objects/384562,https://images.metmuseum.org/CRDImages/dp/original/DP878369.jpg,,"Inscription:Signed in graphite below plate lower right: ""Zorn""Inscribed in pen and brown ink upper right: ""6""Marking:Stamped on recto top center: ""PROVENCE / REGIST. / DESFERM / DU ROY / T.D.D.""; stamped (or signed) in black ink, upper right: [illegible cipher of cursive scrawls]",Anders Zorn,1905,Ida,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/352898,https://collectionapi.metmuseum.org/public/collection/v1/objects/352898,https://images.metmuseum.org/CRDImages/dp/original/DP808492.jpg,,"Inscription:Inscribed in black chalk at lower left, ma / a [illegible].Marking:The stamp of Alfred Normand (Lugt supplement 153c) appears in purple ink at lower right.","Anonymous, French, 16th century",16th century,Head of a Woman in Profile,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/345071,https://collectionapi.metmuseum.org/public/collection/v1/objects/345071,https://images.metmuseum.org/CRDImages/dp/original/DP803535.jpg,,"Inscription:Recto, lower left: 4 plln ….. 3 zollRecto, lower right, illegible inscription.Recto, the four small coat of arms at the bottom of the tomb are numbered from 1 to 4.","Anonymous, German, 17th century",early 17th century,Tomb for a Bishop,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/373756,https://collectionapi.metmuseum.org/public/collection/v1/objects/373756,https://images.metmuseum.org/CRDImages/dp/original/DP819782.jpg,,Signature:Signed (?) in the lower right towards the center: FA Myldorfer / 1754Inscription:in graphite in lower right corner: 'D.6.IX.1025-'; and by another hand: 'Prof. Fr. Aug. Myldorfer / […]' (illegible)/Marking:Stamp (?) in red ink in lower right corner: 'n.m.-21.',Franz August Myldorfer,1754,Standing Male Nude,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/335969,https://collectionapi.metmuseum.org/public/collection/v1/objects/335969,https://images.metmuseum.org/CRDImages/dp/original/DP807898.jpg,,"Signature:In pen and gray ink at lower left corner: ""C.Percier""Inscription:In graphite at lower center to lower right: ""(illeg.)"" [rubbed out].",Charles Percier,None,Vignette with Two Portrait Medallions,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/336554,https://collectionapi.metmuseum.org/public/collection/v1/objects/336554,https://images.metmuseum.org/CRDImages/dp/original/DP805707.jpg,,"Inscription:Lower right corner beneath parallel lines in brown ink: ""Be. . ."" (illegible)Marking:Stamped in black ink at lower left, collector's mark of Peter Sylvester (Lugt 2108)",Jacques Courtois,17th century,Battle Scene: a Cavalry Engagement,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/359446,https://collectionapi.metmuseum.org/public/collection/v1/objects/359446,https://images.metmuseum.org/CRDImages/dp/original/DP879815.jpg,,"Inscription:Veros: at lower center, illegible inscription in graphite; at lower right, inscribed ""49 x 28"" in graphite",Maarten van Heemskerck,16th century,Ecce Homo,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/360441,https://collectionapi.metmuseum.org/public/collection/v1/objects/360441,https://images.metmuseum.org/CRDImages/dp/original/DP812264.jpg,,"Inscription:Inscribed in pen and brown ink at lower left: ""J.M. Vien, del.""And at lower right, ""[illegible] P. Lacour.""",Joseph Marie Vien,ca. 1744–50,View of the Colosseum,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/334086,https://collectionapi.metmuseum.org/public/collection/v1/objects/334086,https://images.metmuseum.org/CRDImages/dp/original/DP805486.jpg,,"Inscription:In graphite at lower edge, illegible; in graphite at lower right corner (under stamp), ""65"".Marking:At lower right corner, blue ink ""E.B."" stamp (Lugt 828).",Eugène Boudin,1865,On the Beach,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/343905,https://collectionapi.metmuseum.org/public/collection/v1/objects/343905,https://images.metmuseum.org/CRDImages/dp/original/DP808597.jpg,,"Inscription:In pen and brown ink at upper center, illegible; in pen and brown ink at lower center, scaled.Marking:On verso, at lower left corner, sticker stamp ""Galerie A. Decour, Paris, no. 438"".","Anonymous, French, 18th century",18th century,Architectural Drawing,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/340186,https://collectionapi.metmuseum.org/public/collection/v1/objects/340186,https://images.metmuseum.org/CRDImages/dp/original/DP802549.jpg,,"Inscription:Annotated in red chalk at lower edge, Innocenzio da I [illegible - loss here].","Anonymous, Italian, Roman-Bolognese, 17th century",17th century,"Madonna, Child, and Saint John",0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/345600,https://collectionapi.metmuseum.org/public/collection/v1/objects/345600,https://images.metmuseum.org/CRDImages/dp/original/DP223404.jpg,,Inscription:In pen and black ink: illegible text in German.,"Anonymous, French, 18th century",ca. 1770–90,Design for a Candelabra,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/339982,https://collectionapi.metmuseum.org/public/collection/v1/objects/339982,https://images.metmuseum.org/CRDImages/dp/original/DP802261.jpg,,Inscription:Annotated on verso in brown ink script: Jegno Giovanni [?] Rosi [?]; in a different hand: maria / [illegible] / maria / mana,"Anonymous, Italian, Florentine, second half of the 16th century",17th century,Drapery Study,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/383758,https://collectionapi.metmuseum.org/public/collection/v1/objects/383758,https://images.metmuseum.org/CRDImages/dp/original/DP883186.jpg,,"Signature:lower left, in graphite: Fernand KhnopffInscription:lower left, in graphite: [illegible] à Madame Buffin. 1913.",Fernand Khnopff,1905,Bells (Une coiffure de grelots),0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/739054,https://collectionapi.metmuseum.org/public/collection/v1/objects/739054,https://images.metmuseum.org/CRDImages/dp/original/DP872673.jpg,,"Inscription:in plate below image: ""A THEATRICAL CANDIDATE""/ [ 12 lines of text]; in black ink bottom center: ""Pubd Dec 9 1801 [illegible]""",Thomas Rowlandson,1797,A Theatrical Candidate,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/736569,https://collectionapi.metmuseum.org/public/collection/v1/objects/736569,https://images.metmuseum.org/CRDImages/dp/original/DP871846.jpg,,"Inscription:Insribed in plate below image center: ""A CULLY PILLAG'D / London publishd Ocbre 30th 1786 [illegible] N9 Oxford Street""",Thomas Rowlandson,"October 30, 1786",A Cully Pillag'd,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/338898,https://collectionapi.metmuseum.org/public/collection/v1/objects/338898,https://images.metmuseum.org/CRDImages/dp/original/DP810052.jpg,,"Inscription:Annotated by 17th or early 18th century hand in pen and brown ink at lower right, ""L. Gior . . . f [? partly effaced]"" at lower left, ""no. 70."" Further illegible annotations of numbers on backing.",Luca Giordano,1634–1705,Moses Striking the Rock,0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/340651,https://collectionapi.metmuseum.org/public/collection/v1/objects/340651,https://images.metmuseum.org/CRDImages/dp/original/DP811518.jpg,,Inscription:Cancelled and illegible annotations in pen and brown ink on verso.,Salvator Rosa,1615–73,Two Standing Soldiers and Six other Figures,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/399678,https://collectionapi.metmuseum.org/public/collection/v1/objects/399678,https://images.metmuseum.org/CRDImages/dp/original/DP828583.jpg,,"Inscription:Inscribed in plate, above image, right: 18.Inscribed in plate, below image left: En. De Lavallee, ...oussin ...[illeg.]Inscribed in plate, below image, center: VI.Inscribed in plate, below image, right: f. Weiroter Sculp",Franz Edmund Weirotter,1764,A Visit to Rome in 1764,0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/723453,https://collectionapi.metmuseum.org/public/collection/v1/objects/723453,https://images.metmuseum.org/CRDImages/dp/original/DP863356.jpg,,"Inscription:Inscribed in plate across center: ""PIERRE BONNARD""; bottom left: ""49, rue Lepic""; right: ""60, rue de Douai""Inscribed in ink across recto: 'J'ai lu votre article [?] la salon / d'automne dans l'art moderne / et suis tres touché [illegible] / que vous [illegible] a mon peinture.""Translation of inscription in ink across recto: ""I read your article [on?] the autumn Salon in l'Art Moderne and am very touched that you [illegible] my painting.""",Anonymous,ca. 1889–1947,"Pierre Bonnard, calling card",0.3,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/680624,https://collectionapi.metmuseum.org/public/collection/v1/objects/680624,https://images.metmuseum.org/CRDImages/dp/original/DP363472.jpg,,"Inscription:Lettered in block, center: 'Mit solchen allen gfuert groß pracht / Die goetter selbst darob veracht / Kam sie solchs von ihr selber B(H?)ett/ Niemand ihr solchs gleich koennen thee/ Die wurd von Gott gestrafft zur Rach/ Daß sie fuer ihr ehr schand und schmach/ Bekam zlohn einer Spinnen (?illegible)/ Darein Sie auch verwar(illegible)lt ward/ Drumb welch solch gaben spuert in ihr / Die brauch solche zu gschuck und zier. / Dann euferlich schmuck wol thut stan/ Wann nur das herz nicht hanget dran/ Und danct Gott fuer solch gaben meh / Das ihr nicht wie Archanna geh/ Welche nun solchs betrachtet eben / Und braucht ihr kunst und fleuß darnebn/ Zu nutz und foerderung gemein/ Ihrs Nechsten und ihr nicht allein/ Die erlanget dadurch bereit / Preuß/ Lob/ Rumb/ Ehr und Wuerdigkeit/ Von'[n.b. there is a hole in the page which makes some of the text illegible]",DesignerJohann Sibmacher,1597,Schön Neues Modelbuch (Page 4 verso),0.9,65,120,30,50,-1,
https://www.metmuseum.org/art/collection/search/399240,https://collectionapi.metmuseum.org/public/collection/v1/objects/399240,https://images.metmuseum.org/CRDImages/dp/original/DP834466.jpg,,"Inscription:Inscribed in plate, below image, left: Dessiné par C.N. Cochin, Chevalier de l'Ordre de St. Michel.Inscribed in plate, below image, center: La Fontaine Enchantée de la Verité d'Amour.Inscribed in plate, below image, right: Gravé à l'Eau forte par Aug. de St. Aubin, et terminé au Burin par C.F. MacretInscribed in plate, below title, center: ...[illeg.] sous les habits de Pretresse Druide, et Silvandre, desesperés des Rigueurs de leurs Berg..res, sexposent a la fureur des lions qui gardent la fontaine enchantée de la verité d'amour, Astree et Diane affligé de la perte de leurs Amans, / ...[illeg.] a la fontaine avec le même dessein; Elles y trouvet ces Bergers et se jettent entr'eux et les Lions: le L...[illeg.] prennent leurs deffense. Astrée Liv. IX.",EtcherAugustin de Saint-Aubin,ca. 1783,The Enchanted Fountain of Love's Truth (La Fontaine Enchantée de la Verité d'Amour),0.9,65,120,30,50,-1,
